System,T(K),GammaInf,Ref,1,2,3,4,5,6,
"benzene/dimethyl sulfoxide",328.15,3.11,"10.1021/je0000571"
"benzene/dimethyl sulfoxide",343.15,3.02,"10.1021/je0000571"
"benzene/dimethyl sulfoxide",353.15,2.67,"10.1021/je0000571"
"cyclohexene/dimethyl sulfoxide",328.15,10.94,"10.1021/je0000571"
"cyclohexene/dimethyl sulfoxide",343.15,9.53,"10.1021/je0000571"
"cyclohexene/dimethyl sulfoxide",353.15,8.14,"10.1021/je0000571"
"cyclohexane/dimethyl sulfoxide",328.15,23.70,"10.1021/je0000571"
"cyclohexane/dimethyl sulfoxide",343.15,19.34,"10.1021/je0000571"
"cyclohexane/dimethyl sulfoxide",353.15,16.02,"10.1021/je0000571"
"benzene/isophorone",328.15,1.78,"10.1021/je0000571"
"benzene/isophorone",343.15,1.25,"10.1021/je0000571"
"benzene/isophorone",353.15,0.99,"10.1021/je0000571"
"cyclohexene/isophorone",328.15,2.78,"10.1021/je0000571"
"cyclohexene/isophorone",343.15,2.08,"10.1021/je0000571"
"cyclohexene/isophorone",353.15,2.51,"10.1021/je0000571"
"cyclohexane/isophorone",328.15,3.28,"10.1021/je0000571"
"cyclohexane/isophorone",343.15,2.68,"10.1021/je0000571"
"cyclohexane/isophorone",353.15,2.92,"10.1021/je0000571"
"benzene/dimethyl succinate",328.15,2.36,"10.1021/je0000571"
"benzene/dimethyl succinate",343.15,1.78,"10.1021/je0000571"
"benzene/dimethyl succinate",353.15,1.52,"10.1021/je0000571"
"cyclohexene/dimethyl succinate",328.15,5.16,"10.1021/je0000571"
"cyclohexene/dimethyl succinate",343.15,4.05,"10.1021/je0000571"
"cyclohexene/dimethyl succinate",353.15,3.53,"10.1021/je0000571"
"cyclohexane/dimethyl succinate",328.15,7.40,"10.1021/je0000571"
"cyclohexane/dimethyl succinate",343.15,5.88,"10.1021/je0000571"
"cyclohexane/dimethyl succinate",353.15,5.27,"10.1021/je0000571"
"benzene/N,N-dimethylformamide", 313.15, 2.05, "10.1021/ie960426f"
"benzene/N,N-dimethylformamide", 328.15, 1.72, "10.1021/ie960426f"
"benzene/N,N-dimethylformamide", 343.15, 1.57, "10.1021/ie960426f"
"benzene/N,N-dimethylformamide", 353.15, 1.48, "10.1021/ie960426f"
"cyclohexene/N,N-dimethylformamide", 313.15, 8.16, "10.1021/ie960426f"
"cyclohexene/N,N-dimethylformamide", 328.15, 5.86, "10.1021/ie960426f"
"cyclohexene/N,N-dimethylformamide", 343.15, 4.80, "10.1021/ie960426f"
"cyclohexene/N,N-dimethylformamide", 353.15, 4.34, "10.1021/ie960426f"
"cyclohexane/N,N-dimethylformamide", 313.15, 26.5, "10.1021/ie960426f"
"cyclohexane/N,N-dimethylformamide", 328.15, 11.6, "10.1021/ie960426f"
"cyclohexane/N,N-dimethylformamide", 343.15, 9.53, "10.1021/ie960426f"
"cyclohexane/N,N-dimethylformamide", 353.15, 8.27, "10.1021/ie960426f"
"benzene/N-methylpyrrolidine", 313.15, 1.67, "10.1021/ie960426f"
"benzene/N-methylpyrrolidine", 328.15, 1.57, "10.1021/ie960426f"
"benzene/N-methylpyrrolidine", 343.15, 1.44, "10.1021/ie960426f"
"benzene/N-methylpyrrolidine", 353.15, 1.32, "10.1021/ie960426f"
"cyclohexene/N-methylpyrrolidine", 313.15, 6.75, "10.1021/ie960426f"
"cyclohexene/N-methylpyrrolidine", 328.15, 5.11, "10.1021/ie960426f"
"cyclohexene/N-methylpyrrolidine", 343.15, 4.13, "10.1021/ie960426f"
"cyclohexene/N-methylpyrrolidine", 353.15, 3.70, "10.1021/ie960426f"
"cyclohexane/N-methylpyrrolidine", 313.15, 12.3, "10.1021/ie960426f"
"cyclohexane/N-methylpyrrolidine", 328.15, 8.83, "10.1021/ie960426f"
"cyclohexane/N-methylpyrrolidine", 343.15, 7.32, "10.1021/ie960426f"
"cyclohexane/N-methylpyrrolidine", 353.15, 5.87, "10.1021/ie960426f"
"benzene/N,N-Dimethylacetamide", 313.15, 1.18, "10.1021/ie960426f"
"benzene/N,N-Dimethylacetamide", 328.15, 0.94, "10.1021/ie960426f"
"benzene/N,N-Dimethylacetamide", 343.15, 0.86, "10.1021/ie960426f"
"benzene/N,N-Dimethylacetamide", 353.15, 0.90, "10.1021/ie960426f"
"cyclohexene/N,N-Dimethylacetamide", 313.15, 5.33, "10.1021/ie960426f"
"cyclohexene/N,N-Dimethylacetamide", 328.15, 3.52, "10.1021/ie960426f"
"cyclohexene/N,N-Dimethylacetamide", 343.15, 2.65, "10.1021/ie960426f"
"cyclohexene/N,N-Dimethylacetamide", 353.15, 2.65, "10.1021/ie960426f"
"cyclohexane/N,N-Dimethylacetamide", 313.15, 7.08, "10.1021/ie960426f"
"cyclohexane/N,N-Dimethylacetamide", 328.15, 5.17, "10.1021/ie960426f"
"cyclohexane/N,N-Dimethylacetamide", 343.15, 4.17, "10.1021/ie960426f"
"cyclohexane/N,N-Dimethylacetamide", 353.15, 4.43, "10.1021/ie960426f"
"benzene/Dimethyl malonate", 313.15, 2.11, "10.1021/ie960426f"
"benzene/Dimethyl malonate", 328.15, 1.77, "10.1021/ie960426f"
"benzene/Dimethyl malonate", 343.15, 1.51, "10.1021/ie960426f"
"benzene/Dimethyl malonate", 353.15, 1.44, "10.1021/ie960426f"
"cyclohexene/Dimethyl malonate", 313.15, 9.10, "10.1021/ie960426f"
"cyclohexene/Dimethyl malonate", 328.15, 6.27, "10.1021/ie960426f"
"cyclohexene/Dimethyl malonate", 343.15, 4.80, "10.1021/ie960426f"
"cyclohexene/Dimethyl malonate", 353.15, 4.08, "10.1021/ie960426f"
"cyclohexane/Dimethyl malonate", 313.15, 31.1, "10.1021/ie960426f"
"cyclohexane/Dimethyl malonate", 328.15, 14.9, "10.1021/ie960426f"
